glcnac_number,man_number,gal_number,fuc_number,neunac_number
3,3,0,0,0
2,5,0,0,0
3,3,0,1,0
3,4,0,0,0
3,3,1,0,0
4,3,0,0,0
2,6,0,0,0
3,4,0,1,0
3,3,1,1,0
3,4,1,0,0
3,5,0,0,0
4,3,0,1,0
4,3,1,0,0
4,4,0,0,0
5,3,0,0,0
2,7,0,0,0
3,5,0,1,0
3,4,1,1,0
3,3,1,0,1
3,5,1,0,0
4,3,1,1,0
4,4,0,1,0
4,4,1,0,0
4,3,2,0,0
4,5,0,0,0
5,3,0,1,0
5,3,1,0,0
5,4,0,0,0
6,3,0,0,0
3,3,1,1,1
2,8,0,0,0
3,5,1,1,0
3,4,1,0,1
4,4,1,1,0
4,3,2,1,0
4,5,0,1,0
4,3,1,0,1
4,5,1,0,0
4,4,2,0,0
4,6,0,0,0
5,3,1,1,0
5,4,0,1,0
5,3,2,0,0
5,4,1,0,0
5,5,0,0,0
6,3,0,1,0
6,3,1,0,0
3,4,1,1,1
2,9,0,0,0
7,3,0,0,0
3,5,1,0,1
4,3,1,1,1
4,5,1,1,0
4,4,2,1,0
4,3,2,0,1
4,4,1,0,1
4,5,2,0,0
4,7,0,0,0
5,3,2,1,0
5,4,1,1,0
5,5,0,1,0
5,3,1,0,1
5,4,2,0,0
5,3,3,0,0
5,5,1,0,0
6,3,1,1,0
6,3,2,0,0
6,4,1,0,0
7,3,0,1,0
3,5,1,1,1
7,3,1,0,0
4,3,2,1,1
4,4,1,1,1
4,5,2,1,0
4,4,2,0,1
4,5,1,0,1
5,3,1,1,1
4,8,0,0,0
5,4,2,1,0
5,3,3,1,0
5,5,1,1,0
5,3,2,0,1
5,4,1,0,1
5,5,2,0,0
5,4,3,0,0
6,3,2,1,0
6,4,1,1,0
6,3,1,0,1
6,3,3,0,0
6,4,2,0,0
6,5,1,0,0
7,3,1,1,0
7,3,2,0,0
4,4,2,1,1
4,5,1,1,1
8,3,1,0,0
4,3,2,0,2
4,5,2,0,1
5,3,2,1,1
5,4,1,1,1
4,9,0,0,0
5,5,2,1,0
5,4,3,1,0
5,3,3,0,1
5,4,2,0,1
5,5,1,0,1
6,3,1,1,1
5,5,3,0,0
6,3,3,1,0
6,4,2,1,0
6,5,1,1,0
6,3,2,0,1
6,3,4,0,0
6,5,2,0,0
6,4,3,0,0
7,3,2,1,0
7,3,1,0,1
7,3,3,0,0
7,4,2,0,0
8,3,1,1,0
4,3,2,1,2
4,5,2,1,1
8,3,2,0,0
4,4,2,0,2
5,3,3,1,1
5,4,2,1,1
5,5,1,1,1
4,10,0,0,0
5,3,2,0,2
5,5,3,1,0
5,5,2,0,1
5,4,3,0,1
6,3,2,1,1
6,3,4,1,0
6,5,2,1,0
6,4,3,1,0
6,3,3,0,1
6,4,2,0,1
7,3,1,1,1
6,5,3,0,0
6,4,4,0,0
7,3,3,1,0
7,4,2,1,0
7,3,2,0,1
7,3,4,0,0
7,4,3,0,0
7,5,2,0,0
8,3,2,1,0
4,4,2,1,2
8,3,3,0,0
4,5,2,0,2
5,3,2,1,2
5,5,2,1,1
5,4,3,1,1
4,11,0,0,0
9,3,2,0,0
5,3,3,0,2
5,4,2,0,2
5,5,3,0,1
6,3,3,1,1
6,4,2,1,1
6,3,2,0,2
6,5,3,1,0
6,4,4,1,0
6,3,4,0,1
6,4,3,0,1
6,5,2,0,1
7,3,2,1,1
6,5,4,0,0
7,3,4,1,0
7,4,3,1,0
7,5,2,1,0
7,3,3,0,1
7,3,5,0,0
7,5,3,0,0
7,4,4,0,0
8,3,3,1,0
4,5,2,1,2
8,3,2,0,1
8,3,4,0,0
9,3,2,1,0
5,3,3,1,2
5,4,2,1,2
5,5,3,1,1
4,12,0,0,0
9,3,3,0,0
5,4,3,0,2
5,5,2,0,2
6,3,2,1,2
6,3,4,1,1
6,4,3,1,1
6,5,2,1,1
6,3,3,0,2
6,5,4,1,0
6,5,3,0,1
6,4,4,0,1
7,3,3,1,1
7,3,2,0,2
7,3,5,1,0
7,5,3,1,0
7,4,4,1,0
7,3,4,0,1
7,4,3,0,1
8,3,2,1,1
7,5,4,0,0
8,3,4,1,0
8,3,3,0,1
8,3,5,0,0
9,3,3,1,0
5,4,3,1,2
5,5,2,1,2
5,3,3,0,3
4,13,0,0,0
9,3,4,0,0
5,5,3,0,2
6,3,3,1,2
6,5,3,1,1
6,4,4,1,1
10,3,3,0,0
6,3,4,0,2
6,4,3,0,2
7,3,2,1,2
6,5,4,0,1
7,3,4,1,1
7,4,3,1,1
7,3,3,0,2
7,5,4,1,0
7,3,5,0,1
7,4,4,0,1
7,5,3,0,1
8,3,3,1,1
8,3,5,1,0
8,3,4,0,1
5,3,3,1,3
8,3,6,0,0
9,3,4,1,0
5,5,3,1,2
9,3,3,0,1
4,14,0,0,0
9,3,5,0,0
10,3,3,1,0
6,3,4,1,2
6,4,3,1,2
6,3,3,0,3
6,5,4,1,1
10,3,4,0,0
6,5,3,0,2
6,4,4,0,2
7,3,3,1,2
7,3,5,1,1
7,4,4,1,1
7,5,3,1,1
7,3,4,0,2
7,5,4,0,1
8,3,4,1,1
8,3,3,0,2
8,3,6,1,0
8,3,5,0,1
9,3,3,1,1
9,3,5,1,0
9,3,4,0,1
4,15,0,0,0
6,3,3,1,3
9,3,6,0,0
10,3,4,1,0
6,5,3,1,2
6,4,4,1,2
6,3,4,0,3
10,3,5,0,0
6,5,4,0,2
7,3,4,1,2
7,3,3,0,3
7,5,4,1,1
11,3,4,0,0
7,3,5,0,2
7,4,4,0,2
8,3,3,1,2
8,3,5,1,1
8,3,4,0,2
8,3,6,0,1
9,3,4,1,1
9,3,6,1,0
9,3,5,0,1
4,16,0,0,0
6,3,4,1,3
9,3,7,0,0
10,3,5,1,0
6,5,4,1,2
10,3,4,0,1
7,3,3,1,3
10,3,6,0,0
11,3,4,1,0
7,3,5,1,2
7,4,4,1,2
7,3,4,0,3
11,3,5,0,0
7,5,4,0,2
8,3,4,1,2
8,3,6,1,1
8,3,5,0,2
9,3,5,1,1
9,3,4,0,2
9,3,7,1,0
9,3,6,0,1
10,3,4,1,1
4,17,0,0,0
10,3,6,1,0
6,3,4,0,4
10,3,5,0,1
7,3,4,1,3
10,3,7,0,0
11,3,5,1,0
7,5,4,1,2
7,3,5,0,3
11,3,6,0,0
8,3,5,1,2
8,3,4,0,3
8,3,6,0,2
9,3,4,1,2
9,3,6,1,1
9,3,5,0,2
6,3,4,1,4
9,3,7,0,1
10,3,5,1,1
4,18,0,0,0
10,3,7,1,0
10,3,6,0,1
7,3,5,1,3
10,3,8,0,0
11,3,6,1,0
7,3,4,0,4
11,3,5,0,1
8,3,4,1,3
11,3,7,0,0
8,3,6,1,2
8,3,5,0,3
9,3,5,1,2
9,3,7,1,1
9,3,6,0,2
10,3,6,1,1
4,19,0,0,0
10,3,5,0,2
10,3,8,1,0
7,3,4,1,4
10,3,7,0,1
11,3,5,1,1
11,3,7,1,0
7,3,5,0,4
11,3,6,0,1
8,3,5,1,3
11,3,8,0,0
8,3,6,0,3
9,3,6,1,2
9,3,5,0,3
9,3,7,0,2
10,3,5,1,2
10,3,7,1,1
4,20,0,0,0
10,3,6,0,2
7,3,5,1,4
10,3,8,0,1
11,3,6,1,1
11,3,8,1,0
11,3,7,0,1
8,3,6,1,3
8,3,5,0,4
9,3,5,1,3
9,3,7,1,2
9,3,6,0,3
10,3,6,1,2
10,3,8,1,1
4,21,0,0,0
10,3,7,0,2
11,3,7,1,1
11,3,6,0,2
8,3,5,1,4
11,3,8,0,1
8,3,6,0,4
9,3,6,1,3
9,3,7,0,3
10,3,7,1,2
10,3,6,0,3
10,3,8,0,2
11,3,6,1,2
11,3,8,1,1
11,3,7,0,2
8,3,6,1,4
9,3,7,1,3
9,3,6,0,4
10,3,6,1,3
10,3,8,1,2
10,3,7,0,3
11,3,7,1,2
11,3,8,0,2
9,3,6,1,4
9,3,7,0,4
10,3,7,1,3
10,3,8,0,3
11,3,8,1,2
11,3,7,0,3
9,3,7,1,4
10,3,8,1,3
10,3,7,0,4
11,3,7,1,3
11,3,8,0,3
10,3,7,1,4
10,3,8,0,4
11,3,8,1,3
10,3,8,1,4
11,3,8,0,4
11,3,8,1,4
11,3,8,1,4
